id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid02MVQNtSHzzncea5a2AKj4JHt9d8YJVtNrMiwkCau6qLyQfZQ1GLqbqwC9mExvajqPl,Arnold Schwarzenegger,1400,35000,6200,0,0,0,0,0,41200,5500,"Thank you all for the kind birthday messages! You made my day. If you want to see my birthday wish list, link is in my bio!",2023-08-01 00:00:00,['blob:https://www.facebook.com/5494e851-2493-4b49-99b0-115158b4238f'],,https://www.facebook.com/arnold/posts/pfbid02MVQNtSHzzncea5a2AKj4JHt9d8YJVtNrMiwkCau6qLyQfZQ1GLqbqwC9mExvajqPl?__cft__[0]=AZW-8AUqxIMC0vocBYKd0gnUjqMyhlMgaDcxVU2YKPxYyLvNamN6Sil6ekSYyblMOV-FaJn2Q_OGSThr_7krLG2iOivejAUVwh4rYbt6OC8qFo-Pf9wNMB6CP9d393V4uqi5IKvGIjXueC6VzsuBnY1Yvl9MsdFKd1v69HcMmziKpot3WjqC6JxTlqD_JL83UiGpuxz80lvmtVd_Ruv41Ifl&__tn__=%2CO%2CP-R
pfbid0gBeEqkCfHRxKJeehUBJPasb8mz4qTRZWoHkAPk3VcKYsZwdsk5kSC19JbtgpLbkXl,Arnold Schwarzenegger,426,17000,3000,0,0,0,0,0,20000,1200, Free Less than 5 minutes a day Health and fitness info without BS Positivity the world needsJoin Arnold’s Pump Club. Our village wants you.,2023-08-03 00:00:00,[],https://scontent.fbgo1-1.fna.fbcdn.net/v/t39.30808-6/365406628_838690094284725_8384190132151180877_n.jpg?stp=dst-jpg_s640x640&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_ohc=lVkxGrAI5FcAX8hdSmw&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfDYVYj42xHFfxfkqx5rEOg0_qxc4c6umCL_Fem_Dwo5mA&oe=64D672D0,https://www.facebook.com/arnold/posts/pfbid0gBeEqkCfHRxKJeehUBJPasb8mz4qTRZWoHkAPk3VcKYsZwdsk5kSC19JbtgpLbkXl?__cft__[0]=AZVO_OeXDDBh_cVvXAgyA8P-8U5c9apRKD2IVJQGiaoLSBtOybWo3RxZIyMci7Tb9PxSu4sNxMjUP4I1F5R9u6wc0OLVYxBr3gXAB-BJVjpK4PPkNbEqhi96tHcpKGByRk4qn0sC5hYrCmqAW0uAswCiY-pq_wimcUjFR8QIIUc2YxJG1xcgRAX1KmKZnkuwbYJu-SDvhHhjutNc1JY2830m&__tn__=%2CO%2CP-R
pfbid0YdVV2eCrfZLei8p92KqGG3SN9eZNmRexWzW5i11JovRF42vh19d4erfTFBWL6sBkl,Arnold Schwarzenegger,6500,169000,0,0,0,0,0,0,169000,3500,We all need training partners to help us reach our potential. I know Franco was looking down on @ronniecoleman8 pushing me today and smiling. Join our village at the link in my bio and I’ll push you every day with a free email.,2023-08-04 00:00:00,['blob:https://www.facebook.com/a118cffe-a7f4-4f72-9ef5-bc4bb8b50562'],https://scontent.fbgo1-1.fna.fbcdn.net/v/t51.36329-10/364332084_296157603080338_7095143870147776502_n.jpg?stp=dst-jpg_s960x960&_nc_cat=1&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=r3WFJpsQ5hQAX9GSU6K&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfBKHaz7BG0P39Tj-uMzx6vUyEGaft4HLd-Dy_ic3FsNDg&oe=64D6ADD9 https://external.fbgo1-1.fna.fbcdn.net/emg1/v/t13/8095531463660385150?url=https%3A%2F%2Fmedia1.tenor.co%2Fimages%2Fddb51442746d26d1aec05b203e043e48%2Ftenor.gif%3Fver%3D1112%26c%3DVjFfZmFjZWJvb2tfd2ViY29tbWVudHM%26itemid%3D24410365&fb_obo=1&utld=tenor.co&stp=dst-gif_q75&ccb=13-1&oh=06_AbHzdHHmquV8finPo3OGfBguv5GBFFkh7ONdAbmkiq88tw&oe=64D294E3&_nc_sid=645d17 https://scontent.fbgo1-1.fna.fbcdn.net/v/t39.30808-1/362668500_111724242011907_1185473229195944189_n.jpg?stp=c0.0.100.100a_dst-jpg_p100x100&_nc_cat=103&ccb=1-7&_nc_sid=dbb9e7&_nc_ohc=9zMtC-sHuR8AX9XP9IZ&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfC80KxArcm3ywde5Q13gLQfOGCSs0T_QYJLb57HrK3qBA&oe=64D54716,https://www.facebook.com/arnold/posts/pfbid0YdVV2eCrfZLei8p92KqGG3SN9eZNmRexWzW5i11JovRF42vh19d4erfTFBWL6sBkl?__cft__[0]=AZWWWN3odOirr5hrFOwL6XuQQhjSTOrUGCbN4VZH0a17WOBqDHZDbNCu_jvkBSQAuYitemkUXNB06617lwwXXbnaLAzD8c32IuoWn3GigOGG8YALX_kU2J_OrLLy7QIdjVI6IgUj3aMUsqV3cpAoN9e8_ffDl5JDWtLIyRXrEiOn_50ACxfw2Ohl3QyODgXuiHsow5K1IhA9EbDkREmgyA8p&__tn__=%2CO%2CP-R
pfbid0kFyPo5orSH6a9bGqUzAhQdURXQ1HRbAiHF9ZRUtXkF9aYPFQCgEjqfQYPTFbbapgl,Arnold Schwarzenegger,1700,33000,2800,0,0,0,0,0,35800,1100,Pumping with  @ronniecoleman8. Get your pump delivered to your inbox for free every day at the link in my bio.,2023-08-05 00:00:00,['blob:https://www.facebook.com/b4e48963-d6e7-4e5e-94ed-28f54c1db726'],https://scontent.fbgo1-1.fna.fbcdn.net/v/t51.36329-10/365413100_1700090853798598_3355460911688664760_n.jpg?stp=dst-jpg_s960x960&_nc_cat=1&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=KjUHzbteXikAX9C22_e&_nc_ht=scontent.fbgo1-1.fna&oh=00_AfAkt13RrvQ4ATxcnkEthRE6ZWGbeHR1AnV60ecL0elsqA&oe=64D52DC5,https://www.facebook.com/arnold/posts/pfbid0kFyPo5orSH6a9bGqUzAhQdURXQ1HRbAiHF9ZRUtXkF9aYPFQCgEjqfQYPTFbbapgl?__cft__[0]=AZUOrVn3kqaH-Tt2BdmGMGFpV1s9ZnGl4ZyEHD3rA8TrzL_MLUopASGHDO267l5QmG6m0L6owiK4fwNHq1FdlILIU641L82aiEslKCMJVmrVLyh9YZ95FCuVz4zo1YTljBunHuaiilYMfNSqoWJecv1Yepoo7LnLJt-fg6HKxuT49GPoGaEVqaFjDl7r56GBtBxVaRpM8XZDwbTC3BltWQ_G&__tn__=%2CO%2CP-R
